line,eqn,type
When you add all the meals together they spent 25.50+35.00+27.00+8.50+24.00 = $120.00,25.50+35.00+27.00+8.50+24.00=120.00,correct
The number of vets that recommend Yummy Dog Kibble is 1000*.3=300 vets.,1000*.3=300,correct
Three $5 bills amount to $5 x 3 = $15.,5*3=15,correct
The weight vest weighed 150*.5=75 kg,150*.5=75,correct
The two shorter CDs have a combined length of 1.5*2=3 hours,1.5*2=3,correct
He sells 2 pairs of loafers that are $150.00 each for a total of 2*150 = $300.00,2*150=300.00,correct
So Bobby pays 600*.8=$480,600*.8=480,correct
The bride wanted 50*.6=30 more guests than the husband,50*.6=30,correct
She works 8 hours a day at $16.00 an hour so she makes 8*16 = $128.00 a day,8*16=128.00,correct
Then multiply the price of nose-piercing by the number of noses pierced: $20/nose * 6 noses = $120,20*6=120,correct
Then multiply that wage by 75% to find Cary's wage after her pay cut: $12 * .75 = $9.,12*.75=9,correct
He bought 250*100=25000 gems,250*100=25000,correct
So he kept 100-20=$80,100-20=80,correct
So he pays 100+50=$150 per week for the car,100+50=150,correct
So they add 150-30=120 pounds more than sleeves,150-30=120,correct
So he pays 90-36=$54 a month.,90-36=54,correct
Her sunscreen costs $360.00 and her discount is 108.00 making her purchase total 360-108 = $252.00,360-108=252.00,correct
"So, the total amount Rubble spent for all the stuff was $8.00 + $3.00 = $11.00.",8+3=11.00,correct
"Therefore, Kevin ran a total of 5 miles + 10 miles + 2 miles = 17 miles.",5+10+2=17,correct
He paid for 20-6=14 candy bars,20-6=14,correct
Nick sold 55 - 6 = 49 bottles of soda in the morning.,55-6=49,correct
So he makes 50*.5=$25,50*.5=25,correct
His balance is $60.00 and he puts another $20.00 on his card for a total of 60+20 = $80.00,60+20=80.00,correct
Kayla made 12*1.50=18 free-throws.,12*1.50=18,correct
The normal price of the lessons would be 20*40=$800,20*40=800,correct
The number of students that play sports is 400 * 0.52 = 208 students.,400*0.52=208,correct
36 chocolate pretzels sold for $2.00 each sold for 36*2 = $72.00,36*2=72.00,correct
Trisha's gross pay of 31200 - 6240 = 24960 dollars,31200-6240=24960,correct
"At 9 A.M., the temperature was 53 degrees + 1.5 degrees = 54.5 degrees.",53+1.5=54.5,correct
They sold 2000*.9=1800 items,2000*.9=1800,correct
"For the second year, the total invested will be $2420 + ($100 * 12) = $3620.",2420+100*12=3620,correct
She sold 2 ensembles for $45.00 each for a total of 2*45 = $90.00,2*45=90.00,correct
They sold 25 raffle tickets at $2.00 a piece so 25*2 = $50.00,25*2=50.00,correct
The total cost of the dinner is $80 + $10 = $90.,80+10=90,correct
So the total cost 19+5.5+7.5=$32,19+5.5+7.5=32,correct
So she was able to get a total of 68 gallons + 82 gallons + 50 gallons = 200 gallons.,68+82+50=200,correct
Then after the cost of creating the movie he has a profit of 450000-2000=$448000,450000-2000=448000,correct
The pre-state tax total is $30+$6=$36.,30+6=36,correct
She was charged $2 x 3 = $6 for the cups of ice cream.,2*3=6,correct
They plant 3 trees for every tree they chop so they need to plant 500 trees * 3 = 1500 trees.,500*3=1500,correct
Justice currently has 3 + 5 + 7 = 15 plants in her house,3+5+7=15,correct
Then add the initial number of objects she could juggle to find the total: 10 objects + 3 objects = 13 objects,10+3=13,correct
Randy spends 8*12=96 dollars in a year.,8*12=96,correct
"Mr. Doré paid $200, so the saleswoman must give him $200 - $198 = $2 back.",200-198=2,correct
"Combined, Jennifer travels 10 miles on the first day + 30 miles on the second day = 40 miles Jennifer travels total.",10+30=40,correct
"To make all the omelettes, he needs 24 + 60 = 84 eggs.",24+60=84,correct
The amount of money Diana earned in August is 3 * $150 = $450.,3*150=450,correct
"On the fourth row, he used 5 - 2 = 3 blocks.",5-2=3,correct
Total yards = 72 + 88 + 44 = 204 yards,72+88+44=204,correct
"Therefore, in 1 trip that means all three move a total of 4+6+12=22 gallons.",4+6+12=22,correct
"Since there are twice as many apples as the 10 oranges, this means there 10*2=20 apples.",10*2=20,correct
"So, the 6th graders planted 180 - 30 = 150 trees.",180-30=150,correct
The money he earned from an oil change is $20 x 5 =$ 100.,20*5=100,correct
"In the second month, the song will have 120000 * 2 = 240000 listens.",120000*2=240000,correct
"Hence, 20 - 13 = 7 tiles are white.",20-13=7,correct
"Four hats, each with three stripes, is 4*3=12 stripes.",4*3=12,correct
Kantana also buys her sister 1 chocolate on these trips so she is picking up an additional 1* 4=4 additional chocolates for her sister for the month.,1*4=4,correct
"Altogether, Linda has 20+15= 35 coins.",20+15=35,correct
"Since there are 60 minutes in an hour, she studied 9*60=540 minutes in total.",9*60=540,correct
"On the second day, they collected 20 + 5 = 25 cans.",20+5=25,correct
"If she receives 6 job requests every day and works on 4 every day, she remains with 6-4 = 2 requests.",6-4=2,correct
She read a total of 15 + 30 + 35 = 80 pages for three nights.,15+30+35=80,correct
He spent $3 + $12 + $10 = $25 in total.,3+12+10=25,correct
Roque takes 2*3 = 6 hours a week to walk to work.,2*3=6,correct
"Fred spent half his allowance for the movies, so 2 * $8 = $16 allowance.",2*8=16,correct
Lavinia's son is 24 - 2 = 22 years older than Lavinia's daughter.,24-2=22,correct
Dog walking = 22 * 3 = 66,22*3=66,correct
Sally takes 24+2=26 seconds.,24+2=26,correct
Nelly has 34 + 44 = 78 stamps.,34+44=78,correct
"He is able to carry 3 pounds of watermelon, grapes, and oranges because1+1+ 1 = 3",3=3,correct
Sidney does 20 on Monday + 36 on Tuesday + 40 on Wednesday + 50 on Thursday = 146 jumping jacks.,20+36+40+50=146,correct
So the combined flock has 150+150=300 ducks,150+150=300,correct
So all accessories are 7 + 10 + 12 = 29 centimeters long altogether.,7+10+12=29,correct
There are 1 * 3 = 3 blocks in the second layer.,1*3=3,correct
The total number of math problems that Marvin has practiced is 120+40 = 160,120+40=160,correct
The other boards were 118 + 7 = 125 cm before they got cut.,118+7=125,correct
And also made 8 x 3 = 24 red velvet cakes.,8*3=24,correct
"Then do the same for parrots, ignoring the one parrot's extra toe for now: 8 parrots * 2 legs per parrot * 3 nails per leg = 48 nails",8*2*3=48,correct
"Thus, Georgia has 75 - 25 = 50 fewer pieces of stationery than Lorene.",75-25=50,correct
So he spends 3+9=12 years on this education,3+9=12,correct
The smaller house will be expanded by 16000-12500=3500 sq. ft.,16000-12500=3500,correct
Three fewer trumpets than Miles has fingers is 10-3=7 trumpets.,10-3=7,correct
Her profit was $176 - $54 = $122.,176-54=122,correct
The two packs of candy cost $49 x 2 = $98.,49*2=98,correct
Green + Red = 28 + 16 = 44,28+16=44,correct
60% of female alligators are adults because 100 - 40 = 60,100-40=60,correct
Therefore he still needs 40 / 5 = 8 logs of wood.,40/5=8,correct
Brian's commission was 781000 * 0.02 = $15620,781000*0.02=15620,correct
He will have $4 left because 10 - 6 = 4,10-6=4,correct
She has 180 minutes to do work because 3 times 60 equals 180,3*60=180,correct
"If Rachel and Leah have the same age, then the sum of their ages would be 34 - 4 = 30.",34-4=30,correct
"If Chiquita is 5 feet tall, then Mr. Martinez is 5+2 = 7 feet tall",5+2=7,correct
She has 6/2=3 Golden Comets.,6/2=3,correct
"If there are 600 boys at the event, and the difference between boys and girls is 400, there are 600+400=1000 girls.",600+400=1000,correct
Austin has 60/3=20 markers,60/3=20,correct
Weeds strangled 12 / 3 = 4 plants.,12/3=4,correct
There are 99/3 = 33 pigs,99/3=33,correct
Kim got 2 candy bars a week for 16 weeks so she got 2*16 = 32 candy bars,2*16=32,correct
Andy has 6 x 4 = 24 white socks.,6*4=24,correct
Then she placed her 36-18=18 remaining flowers in a vase.,36-18=18,correct
"Becky is four times younger than Eddie, which means she is 92 / 4 = 23 years old.",92/4=23,correct
The third neighborhood uses 300 + 100 = 400 barrels of water.,300+100=400,correct
Tim has 152 photos - 100 photos = 52 photos.,152-100=52,correct
"The number of pages Jane reads in a day is 5 in the morning and 10 in the evening, so she reads 10 + 5 = 15 pages in a day.",10+5=15,correct
The tickets are $50.00 each and they need 2 tickets so that's 50*2 = $100.00,50*2=100.00,correct
"New York is two-thirds as populated as all of New England, meaning there are 2/3*2100000 = 1400000 people living in New York.",2/3*2100000=1400000,correct
First find how many carrots Maria needs to cut by multiplying the number of potatoes by 6: 6 * 2 = 12.,6*2=12,correct
He reads 10/5=2 hours per day,10/5=2,correct
"Each of the 3 children gets 1 juice box, 5 days a week, so she needs 3*5 = 15 juice boxes in 1 week",3*5=15,correct
"If 1 pair of earrings equals 2 earrings, then Barbie bought 12*2=24 earrings.",12*2=24,correct
She made the equivalent of 24 + 12 = 36 cupcakes in all.,24+12=36,correct
So overall he spends $40 + $10 + $45 = $95 to feed all his pets every month,40+10+45=95,correct
His total score for the 2-point shots is 2 x 4 = 8.,2*4=8,correct
So the pair of boots cost 110 - 11 = $99.,110-11=99,correct
"In total, she will bring in $15 + $30 + $20 = $65",15+30+20=65,correct
The second hive has bees each producing 1.4*2 = 2.8 liters,1.4*2=2.8,correct
"In the second year, they reduced the total television production by 10/100*3650 = 365",10/100*3650=365,correct
Half of twelve cans of sprinkles is 12/2=6 cans.,12/2=6,correct
She needs enough to last her 240 days and 1 case will last her 48 days so she needs 240/48 = 5 cases,240/48=5,correct
"After his birthday, Estevan has 8 + 2 = 10 polka-dot blankets",8+2=10,correct
His friend has 24 tires because 3 x 8 = 24,3*8=24,correct
Rory has 45 jellybeans and Gigi has 15 so that's 45+15 = 60 jellybeans total,45+15=60,correct
"Then we divide the sales goal for the day by the sales per hour, finding that the stand needs to be open for 200/20= 10 hours to hit its sales goal.",200/20=10,correct
Jack is 5 years + (2 * 13 years) = 31 years old.,5+(2*13)=31,correct
Now figure out how many flowers are in each centerpiece by dividing the total number of flowers by the number of centerpieces: 180 flowers / 6 centerpieces = 30 flowers / centerpiece,180/6=30,correct
Each dose has to be 150 ml / 3 doses = 50 ml/dose,150/3=50,correct
42/3 = 14 blackberries had been picked.,42/3=14,correct
8 jumbo scallops come in 1 pound and he needs 16 scallops so he will need 16/8 = 2 pounds of scallops,16/8=2,correct
"So, Lucas is 15 - 10 = 5 years old now.",15-10=5,correct
"If Perry had won five more games than did Dana, and Dana won 11 games, then Perry won 11+5=16 games.",11+5=16,correct
"The following day Jill spends double the previous day's total of 10 minutes on the phone, for 10*2=20 minutes.",10*2=20,correct
This is a total of 25 blocks * 4 ads = 100 ads.,25*4=100,correct
The total amount Evan has is $1 + $12 = $13.,1+12=13,correct
"In the hamper, she has 8 x 25% = 2 slacks.",8*25*.01=2,correct
So he is going to use 150 blocks - 60 blocks = 90 blocks of other types.,150-60=90,correct
Then find the size of the third bell: 100 pounds * 4 = 400 pounds,100*4=400,correct
"On two other days, Max delivered only 4/5 * 35 = 28 packages.",4/5*35=28,correct
A quarter of the workers equals 852 * 25 / 100 = 213 workers.,852*25/100=213,correct
He has $20 because 2 x 10 = 20,2*10=20,correct
The total number of red and white balls in the fish tank is 50+30 = 80,50+30=80,correct
There are 12/2 = 6 birds left.,12/2=6,correct
"Since the price of a hat is $10, when Kendra bought 3 hats, she paid 3*$10 = $30",3*10=30,correct
"Daria currently has $189, so she needs $360 - $189 = $171 more.",360-189=171,correct
The difference in cubic yards between the two cities is 9000-6400 = 2600 cubic yards.,9000-6400=2600,correct
First find the number of tablespoons in a full cup: 8 tablespoons/half-cup * 2 half-cups/cup = 16 tablespoons,8*2=16,correct
"Therefore, Pau ate 10 x 2 = 20 pieces of fried chicken.",10*2=20,correct
George's turtle finished 2 minutes quicker than Greta's so 6-2 = 4 minutes to finish,6-2=4,correct
"On Monday, 1200/3=400 dollars were made.",1200/3=400,correct
He can wash 16 more ounces because 50 - 34 = 16,50-34=16,correct
"So, he can deliver 200 x 5 = 1000 bags in 5 days.",200*5=1000,correct
"Therefore, Erwan spent $300 - 15 = $285 after all the discounts.",300-15=285,correct
65-50=15 more minutes,65-50=15,correct
She has 60 - 45 = 15 cookies left.,60-45=15,correct
The price per kilogram of potatoes is $6 / 2 = $3.,6/2=3,correct
"Therefore, the total number of tulips they were able to get is 40 + 20 = 60.",40+20=60,correct
"Therefore, Ben has 80 - 58 = 22 cards left.",80-58=22,correct
"Altogether, Jack and Michael will have 300+130 = 430 handball trophies in three years.",300+130=430,correct
Martha has 11-5=6 blue and yellow butterflies.,11-5=6,correct
He rents it out for 8*4=32 hours,8*4=32,correct
Oula's earnings for that month are 96* $100 = $9600,96*100=9600,correct
Rob has 8*3=24 baseball cards.,8*3=24,correct
Monty needs to feed 36 family members and each chicken/meal combo feeds 6 people so he needs 36/6 = 6 combos,36/6=6,correct
One liter of ketchup is made from 69 kg / 3 liters = 23 kg/liter of tomatoes.,69/3=23,correct
Now add in the delivery fee $90 + $20 = $110.,90+20=110,correct
Harry is 52 / 2 = 26 years old,52/2=26,correct
Each piece is then 5 inches long after the knots are tied because 6-1=5,5=5,correct
The library purchased 50 x 3 = 150 books this year.,50*3=150,correct
Bella needs a total of 8 beads x 6 friends = 48 beads.,8*6=48,correct
"5 minutes for picking up toys, 20 minutes to vacuum, 15 minutes on windows and 10 minutes on furniture is 5+20+15+10 = 50 minutes",5+20+15+10=50,correct
"Since twice Betty's age is the cost of a pack of nuts, a pack of nuts is sold at 2*$50 = $100",2*50=100,correct
This makes the total monthly cost of the first apartment 359.60 + 800 + 260 = $1419.60,359.60+800+260=1419.60,correct
Josh spent 1.75+1.25=3 dollars in total.,1.75+1.25=3,correct
In 1 session he jumps 4 times/minute * 10 minutes = 40 times,4*10=40,correct
"Altogether, she found 12 + 24 = 36 seashells.",12+24=36,correct
He loses 60*.1=6 bars to taxes,60*.1=6,correct
"Together, Darren and Clavin bought 168+96=264 crackers.",168+96=264,correct
"Thus, Lyssa got 63 - 60 = 3 more correct answers than Precious.",63-60=3,correct
"So, there are 8 dog legs + 2 chicken legs = 10 legs in all.",8+2=10,correct
"If one cup of milk equals 250 ml, then 8 cups of milk equal 8 * 250 = 2000 ml of milk",8*250=2000,correct
"Since Camden just bought 3/4 times as many dogs as Rico, he bought 3/4*24=18 dogs.",3/4*24=18,correct
The tax was $270 * .1 = $27,270*.1=27,correct
"The second building is two times as tall as the first building, a total of 600*2 = 1200 feet.",600*2=1200,correct
First find the total number of ducklings the first two ducks have: 2 ducks * 5 ducklings/duck = 10 ducklings,2*5=10,correct
Stephanie fell 13 + 3 = 16 times.,13+3=16,correct
After 1 year Jim has gained $80 * 0.15 = $12,80*0.15=12,correct
"Therefore, he needs to average 210 / 5 = 42 points per game.",210/5=42,correct
All total she made 125+150+200+90 = $565.00,125+150+200+90=565.00,correct
"Therefore, they still need 32/16 = 2 boxes for the loose crayons.",32/16=2,correct
"Therefore, Megan will earn a total of 2 x $1200 = $2400 for two months of work.",2*1200=2400,correct
"At his first speed, Kevin ran 10 miles per hour * 0.5 hours = 5 miles.",10*0.5=5,correct
Penny has $20 -$15 = $5 left after buying 4 pairs of socks and a hat.,20-15=5,correct
They earned $30 from trucks because 5 x 6 = 30,5*6=30,correct
They can buy 84 ounces of helium because 126 / 1.5 = 84,126/1.5=84,correct
So that means it has a weight of 2700*32=86400 kg,2700*32=86400,correct
"So in total, Vinny lost 20 + 10 + 5 + 2.5 = 37.5 pounds in the first four months.",20+10+5+2.5=37.5,correct
"If he worked on a song for 10 hours a day, the total number of hours he takes to complete one song is 10*10 = 100 hours.",10*10=100,correct
Ten dozens of watermelons are equal to 10 x 12 = 120 watermelons.,10*12=120,correct
"The fraction of the total ratio that represents the number of cards that Ellis got is 11/20, and since there were 500 cards, Ellis got 11/20*500 = 275",11/20*500=275,correct
She has a total of 250 + 200 = 450 beads.,250+200=450,correct
It would take 1350 minutes to find all the Waldo's because 450 x 3 = 1350,450*3=1350,correct
Then add the amount he spent on the video game: $36 + $66 = $102,36+66=102,correct
Genevieve drank 2*3=6 pints of coffee.,2*3=6,correct
"Aida has 2 * 40 dolls = 80 dolls, twice the number Sophie has.",2*40=80,correct
"Sarah's age is twice Eli's, then Sarah is 2*19= 38 years old.",2*19=38,correct
After her sister took some each pile had 16-3=13 apples in each basket,16-3=13,correct
Honey earned 20 x $80 = $1600 for 20 days of work.,20*80=1600,correct
"If Karen's 128 crayons were twice as many as were in Beatrice's box, there were 128/2=64 crayons in Beatrice's box.",128/2=64,correct
So all the fish sum up to 12 + 6 + 24 = 42.,12+6+24=42,correct
So he spends 3+9=12 hours on chores,3+9=12,correct
10% discount on the clothes is $130 x 10% = $13.,130*10*.01=13,correct
"So in total, the whole journey to ""Virgo"" islands lasts 8 + 2 = 10 hours.",8+2=10,correct
House 4 has 2 * 10 house 3 carpets = 20 carpets,2*10=20,correct
"That the number of students with puppies, 32, and multiply that by .25 to find out how many own both puppies and parrots, 32 * 0.25 = 8 who own puppies and parrots.",32*0.25=8,correct
On Friday she pulled 15-10=5 weeds,15-10=5,correct
First find the total amount of time he spends trying to get off the freeway: 2 hours * 4 = 8 hours,2*4=8,correct
Each wall has 160 tiles and there are 3 walls so there are 160*3 = 480 tiles in the shower,160*3=480,correct
The total income he earns is $210 + $500 + $50 = $760,210+500+50=760,correct
"Now, to figure out Sarah's age, first multiply Mark's age by 3: 10 * 3 = 30",10*3=30,correct
"On Wednesday, he watched 24 hours / 4 = 6 hours.",24/4=6,correct
"In 7 weeks, Martin purchases 3*7 = 21 goldfish.",3*7=21,correct
1 printer cost $1750/25=$70,1750/25=70,correct
Then subtract the number of pies Marcus drops: 35 pies - 8 pies = 27 pies,35-8=27,correct
There are a total of 2 * 6 = 12 slices of pizza.,2*6=12,correct
Pablo is 70 cm + 124 cm = 194 cm tall.,70+124=194,correct
Haircuts = 8 * 12 = 96,8*12=96,correct
"Since Rick and Jose's lunch cost was the same, Adam spent 2/3*45 = $30 on his lunch.",2/3*45=30,correct
"In total, she will make $1000 + $1100 = $2100.",1000+1100=2100,correct
"After two turns, the ball had traveled 180+90=270 yards.",180+90=270,correct
"Every Wednesday, he delivers 40 x 1/4 = 10 yards of fabric.",40*1/4=10,correct
This means he got 300-150=150 more votes than John.,300-150=150,correct
Roy is 36 inches tall,36=36,correct
If she works 5 hours a week for 8 weeks then she exercises 5*8 = 40 hours in 8 weeks,5*8=40,correct
"After calculating how many cakes are left, she bakes another 30 cakes / 2 = 15 cakes.",30/2=15,correct
"Altogether, they picked 12 + 24 = 36 apples",12+24=36,correct
It takes him 30 minutes to cut 1 yard so it takes him 30*16 = 480 minutes,30*16=480,correct
"If for every 25 brown toads there is one green toad, then there are 200/25=8 green toads per acre.",200/25=8,correct
That means he installed a total of 18+5=23 cabinets,18+5=23,correct
Simon must spend $25 x 2 = $50,25*2=50,correct
Thor sold 200/10=20 stuffed animals.,200/10=20,correct
The total number of pieces of clothes he owns is 240+40 = 280,240+40=280,correct
"Since each room in the house has eight walls, the number of walls painted purple is 8*4= 32.",8*4=32,correct
Her uncle gave her an additional 70 cents for a total of 70+70 = 140 cents,70+70=140,correct
Three times the number of pumpkins at Moonglow Orchard is 14*3= 42,14*3=42,correct
Annie spends 32+30=62 dollars on hamburgers and milkshakes.,32+30=62,correct
If she made $78 on the remaining cupcakes and it cost her $54.00 to make all of the cupcakes then her profit is $78-$54 = $24.00,78-54=24.00,correct
Then find out how much she pays for textbooks by multiplying the number of books by the cost per book: 5 * 120 = $600.,5*120=600,correct
It already has 1.5 * 400 = 600 kilobytes of storage space taken up.,1.5*400=600,correct
First find the total number of strands the two of them can cut per minute: 8 strands + 3 strands = 11 strands,8+3=11,correct
The total number of ducks the three bought is 60 ducks + 15 ducks + 30 ducks = 105 ducks,60+15+30=105,correct
A total of 4 + 6 = 10 cars are in the shop throughout the week.,4+6=10,correct
After he broke his hand he could only type 5 * 8 = 40 words in 5 minutes.,5*8=40,correct
"After 20 days, she spends 20*5.5 = $110.00 on coffee",20*5.5=110.00,correct
The shopping costs were standing at 80/100 * 10 = $8.,80/100*10=8,correct
First triple the amount of milk to find the amount of chicken stock: 2 quarts * 3 = 6 quarts,2*3=6,correct
Austin is 10 - 4 = 6 feet tall.,10-4=6,correct
The total number of bath towels used in one month is 3 + 6 + 3 = 12 bath towels,3+6+3=12,correct
Then add the time to dig the child's grave to find the total time he spends digging: 15 hours + 2 hours = 17 hours,15+2=17,correct
First find the total number of times the wombats claw him: 9 wombats * 4 claws/wombat = 36 claws,9*4=36,correct
First subtract the 8 toddlers Bill double-counted from his count: 26 toddlers - 8 toddlers = 18 toddlers,26-8=18,correct
The next 3 ducklings find 3 x 9 = 27 snails,3*9=27,correct
Her cash back app gave her 10% back on $150.00 so that's .10*150 = $15.00 cash back,10*.01*150=15.00,correct
Patrick traveled to 3 * 3 = 9 countries.,3*3=9,correct
The perfume cost $50.00 and they had $44.00 so they needed to make 50-44 = $6.00 more dollars,50-44=6.00,correct
The difference between the number of cupcakes they made is 40-30 = 10 cupcakes,40-30=10,correct
He is driving 40 MPH because 120 / 3 = 40,120/3=40,correct
"Charlie owns one flute, two horns, and a harp for a total of 1+2+1=4 instruments.",1+2+1=4,correct
He bought 55*18=990 cards,55*18=990,correct
"The store credit card gave him 10% = 10 / 100 = 1 / 10 off, so the card took $90 / 10 = $9 off.",90/10=9,correct
Twice the total number of high school credits the three have is 2*70=140,2*70=140,correct
She needs to spend 900/100 = 9 hours reading in the next three weeks.,900/100=9,correct
Then subtract Mary's time from Ann's time to find the difference: 20 minutes - 7 minutes = 13 minutes,20-7=13,correct
"However, since Abel had a head start of 1 hour, which is 60 minutes, this means Abel arrives 300 + 60 = 360 minutes ahead of Alice",300+60=360,correct
We have 2 kg = 2 * 1000 = 2000 g,2*1000=2000,correct
So the total sack of rice that you can get on the next harvest 20 + 4 = 24.,20+4=24,correct
The tip is $90 * 0.20 = $18,90*0.20=18,correct
"We can calculate area by multiplying the width and the length, so 3 feet x 6 feet = 18 feet.",3*6=18,correct
First find the number of inches in each flight of stairs: 12 steps * 8 inches/step = 96 inches,12*8=96,correct
There are 2 dogs and they each bark 30 times per minute so together they bark 2*30 = 60 times per minute,2*30=60,correct
Sammy has 6 + 2 = 8 bottle caps.,6+2=8,correct
The average number of hours per week is 30 hours / 3 = 10 hours of television.,30/3=10,correct
60% of the marbles are red because 100 - 40 = 60,100-40=60,correct
The price of the racket is $750 - $450 = $300.,750-450=300,correct
"Therefore, Victoria has 8 - 4 = 4 more scoops of ice cream than Oli.",8-4=4,correct
Donna can finish a total of 8 x 5 = 40 episodes during the weekdays.,8*5=40,correct
"As each parent received an equal amount, each parent's gift cost $60 total spending on parents / 2 = $30.",60/2=30,correct
Matthias has 21 - 15 = 6 fish in his aquarium.,21-15=6,correct
"Instead of $5 each, a book costs $5 - $0.5 = $4.5 each.",5-0.5=4.5,correct
"The neighbor's dog steals two bones, leaving 8-2=6 bones.",8-2=6,correct
"After giving five games to Neil, Henry has 33-5=28 games left.",33-5=28,correct
The tip is $80 x 5/100 = $4.,80*5/100=4,correct
"Jerome has 20 classmates on the list, and has half as many out of school friends on there so he has 20/2=10 out of school friends on the contact list",20/2=10,correct
Tina ate one twice a day for 5 days so 2*5 = 10,1*2*5=10,correct
Sean has 40/2+4 = 24 dollars.,40/2+4=24,correct
So his height is 66+6=72 inches,66+6=72,correct
The team has 10 junior girls because 20 / 2 = 10,20/2=10,correct
So Tom earned 20/100 * 80 = 16 bonus points.,20/100*80=16,correct
Brad weighs 145+5=150 pounds.,145+5=150,correct
The total ratio representing the revenue Lucille has is 4+11 = 15,4+11=15,correct
"He has 3 apples and 4 bananas, so he has 3 + 4 = 7 pieces of fruit.",3+4=7,correct
The vegan cupcakes with gluten are 24 / 2 = 12.,24/2=12,correct
Beth made 30 * $15 = $450 in those 3 days.,30*15=450,correct
Monica's brother ate 5 cookies + 2 cookies = 7 cookies.,5+2=7,correct
"Thus, the total amount is $220 + $360 = $580.",220+360=580,correct
"Thus, he must use 3*3 = 9 eggs.",3*3=9,correct
First find the cost of fixing the wall: $1200 * 1/6 = $200,1200*1/6=200,correct
The total of college courses they both attended is 160+40 = 200,160+40=200,correct
The Biology class has 200/2=100 students.,200/2=100,correct
"Since Dana Point beach has four times the number of sharks in Newport beach, there are 4*22 = 88 sharks at Dana Point.",4*22=88,correct
This many children buy a balloon: 3 + 12 = 15 kids.,3+12=15,correct
"Since thirty percent of the female population wears glasses, 30/100 * 3000 = 900 females wear glasses.",30/100*3000=900,correct
He spent 2*2=4 years learning to climb,2*2=4,correct
He also uses 70/100*280 = 196 of the nails remaining in the container to fix the fence.,70/100*280=196,correct
There are 160 library books in total because 104 / .65 = 160,104/.65=160,correct
Janine read 5 x 2 = 10 books this month.,5*2=10,correct
"If Marcus creates 2 paintings on the first day, then he can paint 2 paintings * 2 = 4 paintings on the 2nd day.",2*2=4,correct
"The first year after that, he had $51840 * 1.15 = $59616.",51840*1.15=59616,correct
The total amount spent is $68 + $374 + $187 = $629.,68+374+187=629,correct
"And, five shirts cost 5 x $6 = $30.",5*6=30,correct
"Thus, the airplane trip is 195 - 105 = 90 minutes faster than driving herself to the interview.",195-105=90,correct
Each bag makes a profit of 8-4=$4,8-4=4,correct
Then find the total number of bugs each spider eats: 12 spiders * 7 bugs/spider = 84 bugs,12*7=84,correct
16 ounces are in 1 pound and she has 24 ounces of food so she has 24/16 = 1.5 pounds of food,24/16=1.5,correct
"In total, she will have grown 15+20=35 plants.",15+20=35,correct
Then add the number of each kind of time-out to find the total number: 8 time-outs + 24 time-outs + 5 time-outs = 37 time-outs,8+24+5=37,correct
"With two substitutions, 11+2 = 13 players from the team played the game in the first half.",11+2=13,correct
"Counting the time he spent pouring out the cans and the time the round trip took, he spent 20 seconds per trip + 30 seconds per trip = 50 seconds per trip",20+30=50,correct
So there were 12/2 = 6 people eating the pizza.,12/2=6,correct
He needs to do 15*3=45 progressions,15*3=45,correct
First find the total number of sheep by dividing the number rounded up by 90%: 81 sheep / .9 = 90 sheep,81/.9=90,correct
That cost 10*15=$150,10*15=150,correct
So he drove 60*1=60 miles,60=60,correct
"If Coco used his oven 25 hours last month and its energy consumption is 2.4 kW per hour, then we consumed a total of 25*2.4= 60 kW on his oven last month",25*2.4=60,correct
So 5 slices would cost 5*2=$10,5*2=10,correct
"Therefore, she only has $48 - $21 = $27 left on her account.",48-21=27,correct
"Altogether, Georgie has 5 + 4 = 9 avocados.",5+4=9,correct
"So, she had 10 + 5 = 15 cookies then.",10+5=15,correct
Isabel had 102*2=204 dollars at first.,102*2=204,correct
The pool currently has 48+32 = 80 tiles.,48+32=80,correct
"If two-thirds are eaten, one-third remaining on the plates is 9 / 3 = 3.",9/3=3,correct
"So, Travis and his brother have 68 - 8 = 60 pieces of candy left.",68-8=60,correct
Emily sold 180/3=60 oranges.,180/3=60,correct
Jimmy spent 3 * $1 = $3 on pens.,3*1=3,correct
"Therefore, the girls brought 150 - 144 = 6 fewer popsicle sticks than the boys.",150-144=6,correct
He gets 30000/30=1000 visits per day,30000/30=1000,correct
Your total cost is 25 * $4 = $100.,25*4=100,correct
So he drank 4*1.5=6 ounces of vodka,4*1.5=6,correct
"If he sold a painting at a 10% loss, then he made a 10/100*$40 = $4 loss on each painting.",10/100*40=4,correct
The price of an advanced tablet would be $300 + $800 = $1100.,300+800=1100,correct
So he ate 2 + 1 = 3 bags of chips,2+1=3,correct
Sarah has 50*2 = 100 toads,50*2=100,correct
"Thus, the sum of their present ages is 15 + 5 = 20.",15+5=20,correct
Shara collected 5 x 3 = 15 shells for 3 days.,5*3=15,correct
"Since Whitney is paying with $40 and her purchase cost will be $26, she will have $40-$26= $14 left over after the purchase.",40-26=14,correct
"Then John runs at 4 miles per hour for 0.5 hours, for a distance of 4*0.5=2 miles.",4*0.5=2,correct
That means he bought 60*12=$720 of books a year,60*12=720,correct
He gave out a quarter of 24 seashells which is 24*(1/4) = 6 seashells,24*(1/4)=6,correct
The pakoras cost 4*3=12 dollars each.,4*3=12,correct
In total all packs are going to be worth 6 packs * $2.5/pack = $15.,6*2.5=15,correct
