answer,erroneous_line_number,error_type,explanation,filepath,index,question,wrong_answer,error_reason,source_catalog,tier,model,correct_trace_generated,target_variable,correct_value,flawed_value,repro_seed,date_utc,time_utc
"We first need to figure out how many of each type of skeleton there are. Since half the 20 skeletons are adult women, that means there are 20/2=<<20/2=10>>10 adult women's skeletons.
The remaining half, 10, is split between adult men and children, meaning there are 10/2= <<10/2=5>>5 of each.
Since an adult woman has 20 bones in their body, this means that the 10 skeletons have 20*10=<<20*10=200>>200 bones in total.
Since an adult man has 5 more bones in their body than an adult woman, this means they have 20+5= <<20+5=25>>25 bones in their body.
There are 5 adult men, meaning there are 25*5=<<25*5=125>>125 bones in the adult male skeletons in total.
Since a child has half as many bones as the 20 in an adult woman, this means the children have 20/2= <<20/2=10>>10 bones in their body.
Since there are 5 children, this means there are 5*10= <<5*10=50>>50 bones in the children's skeletons in total.
Therefore, altogether there are 50+125+200= <<50+125+200=375>>375 bones in total in the graveyard.
#### 375",,conceptual,"misinterpretation of phrase: The student misinterpreted ""5 more than this"" as ""5 times this"" when calculating the number of bones for an adult male. It should be 20 + 5 = 25 bones, not 20 * 5 = 100 bones.",yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1205,"In a graveyard, there are 20 skeletons.  Half of these skeletons are adult women, and the remaining number are split evenly between adult men and children.  If an adult woman has 20 bones in their body, and a male has 5 more than this, and a child has half as many as an adult woman, how many bones are in the graveyard?","We first need to figure out how many of each type of skeleton there are. Since half the 20 skeletons are adult women, that means there are 20/2=<<20/2=10>>10 adult women's skeletons.
The remaining half, 10, is split between adult men and children, meaning there are 10/2= <<10/2=5>>5 of each.
Since an adult woman has 20 bones in their body, this means that the 10 skeletons have 20*10=<<20*10=200>>200 bones in total.
Since an adult man has 5 more bones in their body than an adult woman, this means they have 20*5= <<20*5=100>>100 bones in their body.
There are 5 adult men, meaning there are 100*5=<<100*5=500>>500 bones in the adult male skeletons in total.
Since a child has half as many bones as the 20 in an adult woman, this means the children have 20/2= <<20/2=10>>10 bones in their body.
Since there are 5 children, this means there are 5*10= <<5*10=50>>50 bones in the children's skeletons in total.
Therefore, altogether there are 50+500+200= <<50+500+200=750>>750 bones in total in the graveyard.
#### 750",Missing erroneous_line_number,manual,,,,,,,,,
"Victor needs 2 * 8 = <<2*8=16>>16 pieces of chicken for Fried Chicken Dinners.
He needs 6 * 2 = <<6*2=12>>12 pieces of chicken for Chicken Pasta.
He needs 3 * 3 = <<3*3=9>>9 pieces of chicken for Barbecue Chicken orders.
Thus, he needs 16 + 12 + 9 = <<16+12+9=37>>37 pieces of chicken.
#### 37",,conceptual,"incorrect operand: For Chicken Pasta, Victor needs 6 * 2 = 12 pieces of chicken. The student incorrectly used the number of orders (6) instead of the number of pieces per order (2) in the multiplication.",yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1219,"Victor works at Clucks Delux, a restaurant specializing in chicken. An order of Chicken Pasta uses 2 pieces of chicken, an order of Barbecue Chicken uses 3 pieces of chicken, and a family-size Fried Chicken Dinner uses 8 pieces of chicken. Tonight, Victor has 2 Fried Chicken Dinner orders, 6 Chicken Pasta orders, and 3 Barbecue Chicken orders. How many pieces of chicken does he need for all the orders?","Victor needs 2 * 8 = <<2*8=16>>16 pieces of chicken for Fried Chicken Dinners.
He needs 6 * 6 = <<6*6=36>>36 pieces of chicken for Chicken Pasta.
He needs 3 * 3 = <<3*3=9>>9 pieces of chicken for Barbecue Chicken orders.
Thus, he needs 16 + 36 + 9 = <<16+36+9=61>>61 pieces of chicken.
#### 61",Missing erroneous_line_number,manual,,,,,,,,,
"The first spacecraft flew for 30 minutes, or 30/60=1/2 hour.
The second spacecraft flew for 30+30=<<30+30=60>>60 minutes, or 1 hour.
Thus the first spacecraft traveled at a speed of 448 miles in 1/2 hour, or 448/(1/2)=896 miles per hour.
The second spacecraft traveled 448 miles in 1 hour, or 448/1=<<448/1=448>>448 miles per hour.
The difference in speed, in miles per hour, between the two spacecraft was 896-448=<<896-448=448>>448 miles per hour.
#### 448",,conceptual,"misinterpretation of problem: The student incorrectly assumed the second spacecraft also flew for 30 minutes. The problem states the second spacecraft landed ""thirty minutes later"" than the first, meaning its total flight time was 30 minutes (first spacecraft's flight) + 30 minutes (additional time) = 60 minutes, or 1 hour.",yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1231,"Two alien spacecraft on a sightseeing tour of Earth left New Orleans airport at 3:00 pm to travel the 448-mile distance to Dallas by air.  Traveling nonstop, the first spacecraft landed in Dallas at 3:30 pm, while the second spacecraft landed in Dallas thirty minutes later. Assuming both spacecraft traveled at constant speed, what was the difference in speed, in miles per hour, between the two spacecraft?","The first spacecraft flew for 30 minutes, or 30/60=1/2 hour.
The second spacecraft flew for 30 minutes, or 1/2 hour.
Thus the first spacecraft traveled at a speed of 448 miles in 1/2 hour, or 448/(1/2)=896 miles per hour.
The second spacecraft traveled 448 miles in 1/2 hour, or 448/(1/2)=<<448/(1/2)=896>>896 miles per hour.
The difference in speed, in miles per hour, between the two spacecraft was 896-896=<<896-896=0>>0 miles per hour.
#### 0",Missing erroneous_line_number,manual,,,,,,,,,
"The total cost of the hip-hop classes is 2 * $10 = $<<2*10=20>>20
The total cost of the ballet classes is 2 * $12 = $<<2*12=24>>24
The total cost of the jazz class is 1 * $8 = $<<1*8=8>>8
The total cost of all of Lucia’s dance classes in one week is $20 + $24 + $8 = $<<20+24+8=52>>52
#### 52",,conceptual,incorrect operand: The number of hip-hop classes was incorrectly used as 1 instead of 2. The correct calculation for hip-hop classes should be 2 * $10 = $20.,yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1250,"Lucia is a dancer. She takes 2 hip-hop classes a week, 2 ballet classes a week, and 1 jazz class a week. One hip-hop class costs $10. One ballet class costs $12, and one jazz class costs $8. What is the total cost of Lucia’s dance classes in one week?","The total cost of the hip-hop classes is 1 * $10 = $<<1*10=10>>10
The total cost of the ballet classes is 2 * $12 = $<<2*12=24>>24
The total cost of the jazz class is 1 * $8 = $<<1*8=8>>8
The total cost of all of Lucia’s dance classes in one week is $10 + $24 + $8 = $<<10+24+8=42>>42
#### 42",Missing erroneous_line_number,manual,,,,,,,,,
"The cost of the films is 9 × $5 = $<<9*5=45>>45.
The cost of the books is 4 × $4 = $<<4*4=16>>16.
The cost of the CDs is 6 × $3 = $<<6*3=18>>18.
Josh spent $45 + $16 + $18 = $<<45+16+18=79>>79 in total.
#### 79",,conceptual,incorrect operand: The cost of the films should be 9 × $5 = $45. The price of films was incorrectly used as $4 instead of $5.,yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1251,"Josh went to the shopping center. He bought 9 films and 4 books. He also bought 6 CDs. Each film cost $5, each book cost $4 and each CD cost $3. How much did Josh spend in all?","The cost of the films is 9 × $4 = $<<9*4=36>>36.
The cost of the books is 4 × $4 = $<<4*4=16>>16.
The cost of the CDs is 6 × $3 = $<<6*3=18>>18.
Josh spent $36 + $16 + $18 = $<<36+16+18=70>>70 in total.
#### 70",Missing erroneous_line_number,manual,,,,,,,,,
"First find the total income from the federal returns: $50/return * 60 returns = $<<50*60=3000>>3000
Then find the total income from the state returns: $30/return * 20 returns = $<<30*20=600>>600
Then find the total income from the quarterly returns: $80/return * 10 returns = $<<80*10=800>>800
Then add the income from each source to find their total income: $3000 + $600 + $800 = $<<3000+600+800=4400>>4400
#### 4400",,conceptual,"incorrect operation: The income from federal returns should be calculated by multiplying the cost per return by the number of returns ($50 * 60 = $3000), not by adding them.",yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1269,"The Kwik-e-Tax Center charges $50 for a federal return, $30 for a state return, and $80 for quarterly business taxes. If they sell 60 federal returns, 20 state returns, and 10 quarterly returns in one day, what was their total revenue for the day?","First find the total income from the federal returns: $50 + 60 returns = $<<50+60=110>>110
Then find the total income from the state returns: $30/return * 20 returns = $<<30*20=600>>600
Then find the total income from the quarterly returns: $80/return * 10 returns = $<<80*10=800>>800
Then add the income from each source to find their total income: $110 + $600 + $800 = $<<110+600+800=1510>>1510
#### 1510",Missing erroneous_line_number,manual,,,,,,,,,
"The cost of Gary’s gold is 30 * $15 = $<<30*15=450>>450.
The cost of Anna’s gold is 50 * $20 = $<<50*20=1000>>1000.
The total cost of their gold is $450 + $1000 = $<<450+1000=1450>>1450.
#### 1450",,conceptual,incorrect operation: The cost of Gary's gold should be 30 * $15 = $450 (using multiplication instead of addition).,yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1289,Gary has 30 grams of gold that cost $15 per gram. Anna has 50 grams of gold for the cost of $20 per gram. How much is the cost of their gold combined?,"The cost of Gary’s gold is 30 + $15 = $<<30+15=45>>45.
The cost of Anna’s gold is 50 * $20 = $<<50*20=1000>>1000.
The total cost of their gold is $45 + $1000 = $<<45+1000=1045>>1045.
#### 1045",Missing erroneous_line_number,manual,,,,,,,,,
"Writing out the full year uses 4 numbers so this takes 4 numbers * 6 fireworks per number = <<4*6=24>>24 fireworks.
“HAPPY NEW YEAR” contains 12 letters so this takes 12 letters * 5 fireworks per letter = <<12*5=60>>60 fireworks.
There is therefore a total of 24 + 60 = <<24+60=84>>84 fireworks lit at the start of the display.
From the boxes, they lit another 50 boxes * 8 fireworks per box = <<50*8=400>>400 fireworks.
So in total, the whole display uses 84 + 400 = <<84+400=484>>484 fireworks.
#### 484",,conceptual,"incorrect operand: The phrase ""HAPPY NEW YEAR"" contains 12 letters, not 10. The calculation should be 12 letters * 5 fireworks per letter = 60 fireworks.",yewei/gsm8k_data/conceptual/gsm8k_augmented_1201_1300_conceptual.json,1292,"A town is holding a fireworks display for New Year’s Eve. They light enough fireworks to show the full year then light enough fireworks to write “HAPPY NEW YEAR” in the sky. They then light another 50 boxes of fireworks as part of the display. Each box of fireworks contains 8 fireworks. If it takes 6 fireworks to display a number and 5 fireworks to display a letter, how many fireworks are lit during the display?","Writing out the full year uses 4 numbers * 6 fireworks per number = <<4*6=24>>24 fireworks.
“HAPPY NEW YEAR” contains 10 letters so this takes 10 letters * 5 fireworks per letter = <<10*5=50>>50 fireworks.
There is therefore a total of 24 + 50 = <<24+50=74>>74 fireworks lit at the start of the display.
From the boxes, they lit another 50 boxes * 8 fireworks per box = <<50*8=400>>400 fireworks.
So in total, the whole display uses 74 + 400 = <<74+400=474>>474 fireworks.
#### 474",Missing erroneous_line_number,manual,,,,,,,,,
"If Kevin has 40 counters, and Reina has three, the number of counters Kevin has, Reina has 3*40 = <<40*3=120>>120 counters.
Reina also has four times the number of marbles that Kevin has, meaning he has 4*50 = <<4*50=200>>200 marbles.
In total, Reina has 120 counters + 200 marbles = <<120+200=320>>320 items.
#### 320",,computational,computational error: Reina has 3*40 = 120 counters (the multiplication of 3*40 was incorrect).,yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1302,"Reina has three times the number of counters and four times the number of marbles as Kevin. If Kevin has 40 counters and 50 marbles, calculate the number of counters and marbles that Reina has?","If Kevin has 40 counters, and Reina has three, the number of counters Kevin has, Reina has 3*40 = <<40*3=110>>110 counters.
Reina also has four times the number of marbles that Kevin has, meaning he has 4*50 = <<4*50=200>>200 marbles.
In total, Reina has 110 counters + 200 marbles = <<110+200=310>>310 items.
#### 310",Missing erroneous_line_number,manual,,,,,,,,,
"20 * 13 = <<20*13=260>>260 square yards
3 * 5 = <<3*5=15>>15 square yards
260 - 15 = <<260-15=245>>245 square yards
Archie needs 245 square yards of sod.
#### 245",,computational,"computational error: The area of the backyard is 20 * 13 = 260 square yards, not 250.",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1354,Archie needs to lay sod in his backyard that measures 20 yards by 13 yards. He has a shed on it that measures 3 yards by 5 yards. How many square yards of sod will Archie need for his backyard?,"20 * 13 = <<20*13=250>>250 square yards
3 * 5 = <<3*5=15>>15 square yards
250 - 15 = <<250-15=235>>235 square yards
Archie needs 235 square yards of sod.
#### 235",Missing erroneous_line_number,manual,,,,,,,,,
"Annie spends 4*8=<<4*8=32>>32 dollars on hamburgers.
Annie spends 5*6=<<5*6=30>>30 dollars on milkshakes.
Annie spends 32+30=<<32+30=62>>62 dollars on hamburgers and milkshakes.
Annie had 62+70=<<62+70=132>>132 dollars at first.
#### 132",,computational,"computational error: Annie spends 4*8=32 dollars on hamburgers, not 30.",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1361,"Annie has some money. The restaurant next door sells hamburgers for $4 each. The restaurant across the street sells milkshakes for $5 each. Annie buys 8 hamburgers and 6 milkshakes. She has $70 left. How much money, in dollars, did Annie have at first?","Annie spends 4*8=<<4*8=30>>30 dollars on hamburgers.
Annie spends 5*6=<<5*6=30>>30 dollars on milkshakes.
Annie spends 30+30=<<30+30=60>>60 dollars on hamburgers and milkshakes.
Annie had 60+70=<<60+70=130>>130 dollars at first.
#### 130",Missing erroneous_line_number,manual,,,,,,,,,
"When Joanna purchased 4 times the number of gumballs she initially had, she added 40*4 = <<4*40=160>>160 gumballs to her dish.
The total number of gumballs Joanna had in her dish after buying 160 more is 160+40 = <<160+40=200>>200
At the same time, Jacques bought 60*4 = <<60*4=240>>240 new gumballs.
When Jacques added his new 240 gumballs to his dish, the total number of gumballs increased to 240+60 = <<240+60=300>>300 gumballs.
When they decided to put together their gumballs, they had 300+200 = <<300+200=500>>500 gumballs altogether.
After sharing equally, each person got 500/2 = <<500/2=250>>250 gumballs.
#### 250",,computational,"computational error: When Joanna purchased 4 times the number of gumballs she initially had, she added 40*4 = 160 gumballs to her dish (the calculation of 40*4 was incorrect).",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1362,"Joanna and Jacques had 40 and 60 gumballs, respectively, in their dishes. They then purchased 4 times the number of gumballs they had initially and added these to their dishes. If they decided to put together their gumballs and shared them equally, how many gumballs did each get?","When Joanna purchased 4 times the number of gumballs she initially had, she added 40*4 = <<4*40=140>>140 gumballs to her dish.
The total number of gumballs Joanna had in her dish after buying 140 more is 140+40 = <<140+40=180>>180
At the same time, Jacques bought 60*4 = <<60*4=240>>240 new gumballs.
When Jacques added his new 240 gumballs to his dish, the total number of gumballs increased to 240+60 = <<240+60=300>>300 gumballs.
When they decided to put together their gumballs, they had 300+180 = <<300+180=480>>480 gumballs altogether.
After sharing equally, each person got 480/2 = <<480/2=240>>240 gumballs.
#### 240",Missing erroneous_line_number,manual,,,,,,,,,
"She burnt 2 dozen, cooked 2 dozen and then another 2 dozen that evening. So she made 2+2+2 =<<2+2+2=6>>6 dozen cupcakes
Each dozen makes 12 cupcakes, so she made 6*12= <<6*12=72>>72 cupcakes
She threw away 2 dozen cupcakes, so 2*12 = <<2*12=24>>24 cupcakes
She made 72, threw away 24, ate 5 and then ate another 4 so she had 72-24-5-4 = <<72-24-5-4=39>>39 cupcakes left
She sells the 39 cupcakes at $2.00 each so she earned 39*2 = $<<39*2=78.00>>78.00
She made 72 cupcakes at a cost of $0.75 each for a total cost of 72*$0.75 = $<<72*0.75=54.00>>54.00
If she made $78 on the remaining cupcakes and it cost her $54.00 to make all of the cupcakes then her profit is $78-$54 = $<<78-54=24.00>>24.00
#### 24",,computational,"computational error: The calculation for the number of cupcakes left was incorrect. 72 - 24 - 5 - 4 should be 39, not 38. (72 - 24 = 48; 48 - 5 = 43; 43 - 4 = 39).",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1363,"Prudence was starting a cupcake business.  She figured that each cupcake cost $0.75 to make.  The first 2 dozen that she made burnt and she had to throw them out.  The next 2 came out perfectly and she ended up eating 5 cupcakes right away.  Later that day she made 2 more dozen cupcakes and decided to eat 4 more. If she sells the remaining cupcakes at $2.00 each, how much is her net profit?","She burnt 2 dozen, cooked 2 dozen and then another 2 dozen that evening. So she made 2+2+2 =<<2+2+2=6>>6 dozen cupcakes
Each dozen makes 12 cupcakes, so she made 6*12= <<6*12=72>>72 cupcakes
She threw away 2 dozen cupcakes, so 2*12 = <<2*12=24>>24 cupcakes
She made 72, threw away 24, ate 5 and then ate another 4 so she had 72-24-5-4 = <<72-24-5-4=38>>38 cupcakes left
She sells the 38 cupcakes at $2.00 each so she earned 38*2 = $<<38*2=76.00>>76.00
She made 72 cupcakes at a cost of $0.75 each for a total cost of 72*$0.75 = $<<72*0.75=54.00>>54.00
If she made $76 on the remaining cupcakes and it cost her $54.00 to make all of the cupcakes then her profit is $76-$54 = $<<76-54=22.00>>22.00
#### 22",Missing erroneous_line_number,manual,,,,,,,,,
"First, find out how much will Gina pay for tuition by multiplying her number of credits by the cost per credit: 14 * 450 = $<<14*450=6300>>6300.
Then find out how much she pays for textbooks by multiplying the number of books by the cost per book: 5 * 120 = $<<5*120=600>>600.
Finally, add up all Gina's costs to find the total of 6300 + 600 + 200 = $<<6300+600+200=7100>>7100.
#### 7100",,computational,computational error: The calculation for tuition cost 14 * 450 was incorrect. It should be 14 * 450 = 6300.,yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1364,"Gina is figuring out how much she'll have to spend on college this year. She's taking 14 credits that cost $450 each, and she has to pay $120 for each of her 5 textbooks plus a $200 facilities fee. How much will Gina spend in total?","First, find out how much will Gina pay for tuition by multiplying her number of credits by the cost per credit: 14 * 450 = $<<14*450=6250>>6250.
Then find out how much she pays for textbooks by multiplying the number of books by the cost per book: 5 * 120 = $<<5*120=600>>600.
Finally, add up all Gina's costs to find the total of 6250 + 600 + 200 = $<<6250+600+200=7050>>7050.
#### 7050",Missing erroneous_line_number,manual,,,,,,,,,
"There are 60 minutes in an hour.
Micah can type 20 x 60 = <<20*60=1200>>1200 words in an hour.
Isaiah can type 40 x 60 = <<2400=2400>>2400 words in an hour.
Isaiah can type 2400 - 1200 = <<2400-1200=1200>>1200 words more than Micah in an hour.
#### 1200",,computational,computational error: Micah can type 20 x 60 = <<20*60=1200>>1200 words in an hour.,yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1372,Micah can type 20 words per minute and Isaiah can type 40 words per minute. How many more words can Isaiah type than Micah in an hour?,"There are 60 minutes in an hour.
Micah can type 20 x 60 = <<20*60=1100>>1100 words in an hour.
Isaiah can type 40 x 60 = <<2400=2400>>2400 words in an hour.
Isaiah can type 2400 - 1100 = <<2400-1100=1300>>1300 words more than Micah in an hour.
#### 1300",Missing erroneous_line_number,manual,,,,,,,,,
"The 3 pigs that are sold after 12 months will cost the farmer 12*10*3 = $<<12*10*3=360>>360 in food costs.
The 3 pigs that are sold after 16 months will cost the farmer 16*10*3 = $<<16*10*3=480>>480 in food costs.
Thus, the total food cost to raise the 6 piglets was 360 + 480 = $<<360+480=840>>840.
Next, selling the 6 fully grown pigs will earn the farmer 6*300 = $<<6*300=1800>>1800 in revenue.
Therefore, the earn the farmer 1800 - 840 = $<<1800-840=960>>960 in profit from these sales.
#### 960",,computational,"computational error: The cost for the 3 pigs sold after 12 months was calculated incorrectly. 12 * 10 * 3 should be 360, not 300.",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1375,"A farmer owns a hog that recently gave birth to 6 piglets.  If the farmer raises the piglets until they are fully grown, he can sell the fully grown pig for $300.  Each piglet must grow for at least 12 months before it is large enough to be sold. It costs the farmer $10 per month to feed each animal until it is sold.  If the farmer sells 3 pigs after 12 months, and the remaining 3 pigs after 16 months, how much profit did he earn in total (after deducting the cost of food)?","The 3 pigs that are sold after 12 months will cost the farmer 12*10*3 = $<<12*10*3=300>>300 in food costs.
The 3 pigs that are sold after 16 months will cost the farmer 16*10*3 = $<<16*10*3=480>>480 in food costs.
Thus, the total food cost to raise the 6 piglets was 300 + 480 = $<<300+480=780>>780.
Next, selling the 6 fully grown pigs will earn the farmer 6*300 = $<<6*300=1800>>1800 in revenue.
Therefore, the earn the farmer 1800 - 780 = $<<1800-780=1020>>1020 in profit from these sales.
#### 1020",Missing erroneous_line_number,manual,,,,,,,,,
"Lola’s breeding rabbits made 10*10=<<10*10=100>>100 offspring.
100/2=<<100/2=50>>50 got adopted.
5 offspring came back which made Lola have 50+5=<<50+5=55>>55 of them.
In the next spring, 60-4=<<60-4=56>>56 new offspring stayed with Lola.
In total, there are 55+56=<<55+56=111>>111 offspring.
Including the breeding rabbits, there are 111+10=<<111+10=121>>121 rabbits in total.
#### 121",,computational,computational error: 5 offspring came back which made Lola have 50+5=<<50+5=55>>55 of them (the addition of 50 and 5 was incorrect).,yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1379,"Lola’s rabbits keep having kittens each spring. During the first spring, her 10 breeding rabbits had 10 times as many kittens as the number of breeding rabbits Lola has, and half of the kittens got adopted. 5 of them had to be returned to Lola due to re-homing problems. During the next spring, her 10 breeding rabbits only had a total of 60 kittens, with 4 of the kittens being adopted. Including the breeding rabbits, how many rabbits does Lola have in her house?","Lola’s breeding rabbits made 10*10=<<10*10=100>>100 offspring.
100/2=<<100/2=50>>50 got adopted.
5 offspring came back which made Lola have 50+5=<<50+5=54>>54 of them.
In the next spring, 60-4=<<60-4=56>>56 new offspring stayed with Lola.
In total, there are 54+56=<<54+56=110>>110 offspring.
Including the breeding rabbits, there are 110+10=<<110+10=120>>120 rabbits in total.
#### 120",Missing erroneous_line_number,manual,,,,,,,,,
"After one week, Susy has 100+40 = <<100+40=140>>140 followers.
In the second week, Susy gains 40/2 = <<40/2=20>>20 new followers.
In the third week, Susy gains 20/2 = <<20/2=10>>10 new followers.
In total, Susy finishes the three weeks with 140+20+10 = <<140+20+10=170>>170 total followers.
After one week, Sarah has 50+90 = <<50+90=140>>140 followers.
After the second week, Sarah gains 90/3 = <<90/3=30>>30 followers.
After the third week, Sarah gains 30/3 = <<30/3=10>>10 followers.
So, Sarah finishes the three weeks with 140+30+10 = <<140+30+10=180>>180 total followers.
Thus, Sarah is the girl with the most total followers with a total of 180.
#### 180",,computational,"computational error: Sarah's followers after one week should be 50+90 = 140, not 130.",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1380,"Susy goes to a large school with 800 students, while Sarah goes to a smaller school with only 300 students.  At the start of the school year, Susy had 100 social media followers.  She gained 40 new followers in the first week of the school year, half that in the second week, and half of that in the third week.  Sarah only had 50 social media followers at the start of the year, but she gained 90 new followers the first week, a third of that in the second week, and a third of that in the third week.  After three weeks, how many social media followers did the girl with the most total followers have?","After one week, Susy has 100+40 = <<100+40=140>>140 followers.
In the second week, Susy gains 40/2 = <<40/2=20>>20 new followers.
In the third week, Susy gains 20/2 = <<20/2=10>>10 new followers.
In total, Susy finishes the three weeks with 140+20+10 = <<140+20+10=170>>170 total followers.
After one week, Sarah has 50+90 = <<50+90=130>>130 followers.
After the second week, Sarah gains 90/3 = <<90/3=30>>30 followers.
After the third week, Sarah gains 30/3 = <<30/3=10>>10 followers.
So, Sarah finishes the three weeks with 130+30+10 = <<130+30+10=170>>170 total followers.
Thus, both Susy and Sarah have 170 followers. The girl with the most total followers has a total of 170.
#### 170",Missing erroneous_line_number,manual,,,,,,,,,
"Cole has to pay 3 * 9 = $<<3*9=27>>27 for one side of the side fence.
For the shared left fence, he has to pay two-thirds of 27, so he has to pay 27 * 2 / 3 = $<<27*2/3=18>>18.
The shared back fence will cost 3 * 18 = $<<3*18=54>>54.
He has to pay for half the back fence, so it will cost 54 / 2 = $<<54/2=27>>27.
Thus, Cole has to pay 18 + 27 + 27 = $<<18+27+27=72>>72 for the fence.
#### 72",,computational,"computational error: For the shared left fence, Cole has to pay 27 * 2 / 3 = 18 (the calculation of 27 * 2 / 3 was incorrect).",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1385,"Cole wants to fence his backyard on three sides. His backyard is 9 feet along the sides and 18 feet along the back. The neighbor behind him agreed to pay for half of their shared side of his fence, and the neighbor on his left agreed to pay for a third of their shared side. Fencing costs $3 per foot. How much does Cole have to pay for the fence?","Cole has to pay 3 * 9 = $<<3*9=27>>27 for one side of the side fence.
For the shared left fence, he has to pay two-thirds of 27, so he has to pay 27 * 2 / 3 = $<<27*2/3=17>>17.
The shared back fence will cost 3 * 18 = $<<3*18=54>>54.
He has to pay for half the back fence, so it will cost 54 / 2 = $<<54/2=27>>27.
Thus, Cole has to pay 17 + 27 + 27 = $<<17+27+27=71>>71 for the fence.
#### 71",Missing erroneous_line_number,manual,,,,,,,,,
"Arthur is 2 years older than Susan, so he is 15 + 2 = <<15+2=17>>17 years old.
Bob is 11 years old, so Tom is 11 - 3 = <<11-3=8>>8 years old.
So in total these four family members have 11 + 15 + 17 + 8 = <<11+15+17+8=51>>51 years.
#### 51",,computational,"computational error: Arthur's age is 15 + 2 = 17 years old, not 16.",yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1391,"Susan, Arthur, Tom and, Bob are siblings. Arthur is 2 years older than Susan, and Tom is 3 years younger than Bob. If Bob is 11 years old, and Susan is 15 years old, how old are all four family members in total?","Arthur is 2 years older than Susan, so he is 15 + 2 = <<15+2=16>>16 years old.
Bob is 11 years old, so Tom is 11 - 3 = <<11-3=8>>8 years old.
So in total these four family members have 11 + 15 + 16 + 8 = <<11+15+16+8=50>>50 years.
#### 50",Missing erroneous_line_number,manual,,,,,,,,,
"Cassy can pack 12 x 10 = <<12*10=120>>120 jars of jam in the 10 boxes.
She can also pack 10 x 30 = <<10*30=300>>300 jars of jam in the 30 boxes.
A total of 300 + 120 = <<300+120=420>>420 jars of jam can be packed in the boxes.
So, 500 - 420 = <<500-420=80>>80 jars of jam will be left unpacked.
#### 80",,computational,computational error: Cassy can pack 12 x 10 = 120 jars of jam in the 10 boxes (the multiplication 12*10 was incorrect).,yewei/gsm8k_data/computational/gsm8k_augmented_1301_1400_computational.json,1393,"Cassy packs 12 jars of jam in 10 boxes while she packs 10 jars of jam in 30 boxes. If she has 500 jars of jams, how many jars of jam will she have left when all the boxes are full?","Cassy can pack 12 x 10 = <<12*10=110>>110 jars of jam in the 10 boxes.
She can also pack 10 x 30 = <<10*30=300>>300 jars of jam in the 30 boxes.
A total of 300 + 110 = <<300+110=410>>410 jars of jam can be packed in the boxes.
So, 500 - 410 = <<500-410=90>>90 jars of jam will be left unpacked.
#### 90",Missing erroneous_line_number,manual,,,,,,,,,
"If Kevin has 40 counters, and Reina has three, the number of counters Kevin has, Reina has 3*40 = <<40*3=120>>120 counters.
Reina also has four times the number of marbles that Kevin has, meaning he has 4*50 = <<4*50=200>>200 marbles.
In total, Reina has 120 counters + 200 marbles = <<120+200=320>>320 items.
#### 320",,conceptual,"incorrect operation: Reina has three times the number of counters, so it should be 3 * 40 = 120 counters (using multiplication instead of addition).",yewei/gsm8k_data/conceptual/gsm8k_augmented_1301_1400_conceptual.json,1302,"Reina has three times the number of counters and four times the number of marbles as Kevin. If Kevin has 40 counters and 50 marbles, calculate the number of counters and marbles that Reina has?","If Kevin has 40 counters, and Reina has three, the number of counters Kevin has, Reina has 3+40 = <<3+40=43>>43 counters.
Reina also has four times the number of marbles that Kevin has, meaning he has 4*50 = <<4*50=200>>200 marbles.
In total, Reina has 43 counters + 200 marbles = <<43+200=243>>243 items.
#### 243",Missing erroneous_line_number,manual,,,,,,,,,
