index,tier,question,correct_answer,wrong_answer,error_type,explanation,erroneous_line_number,erroneous_line,erroneous_line_eqn,correct_answer_mapping,wrong_answer_mapping,correct_eqn_mapping,wrong_eqn_mapping,correct_answer_length,wrong_answer_length,source,error_subtype,split
5881,tier3,John's car gets 30 mpg.  He drives 20 miles to work each way 5 days a week.  He also drives another 40 miles a week for leisure travel. How many gallons of gas does he use a week?,"He drives 20*2=40 miles per day for work
So he drives 40*5=200 miles for work
So he drives a total of 200+40=240 miles per week
That means he uses 240/30=8 gallons of gas a week
FINAL ANSWER: 8","He drives 20*2=40 miles per day for work
So he drives 40*5=200 miles for work
So he drives a total of 200+40=240 miles per week
FINAL ANSWER: 240",conceptual_error,Incorrect final answer. An intermediate value 'total_miles_per_week' (value: 240) was reported instead of 'gallons_used_per_week' (value: 8.0).,FA,FINAL ANSWER: 240,,"{
  ""L1"": ""He drives 20*2=40 miles per day for work"",
  ""L2"": ""So he drives 40*5=200 miles for work"",
  ""L3"": ""So he drives a total of 200+40=240 miles per week"",
  ""L4"": ""That means he uses 240/30=8 gallons of gas a week"",
  ""FA"": ""8""
}","{
  ""L1"": ""He drives 20*2=40 miles per day for work"",
  ""L2"": ""So he drives 40*5=200 miles for work"",
  ""L3"": ""So he drives a total of 200+40=240 miles per week"",
  ""FA"": ""240""
}","{
  ""L1"": ""20*2=40"",
  ""L2"": ""40*5=200"",
  ""L3"": ""200+40=240"",
  ""L4"": ""240/30=8"",
  ""FA"": """"
}","{
  ""L1"": ""20*2=40"",
  ""L2"": ""40*5=200"",
  ""L3"": ""200+40=240"",
  ""FA"": """"
}",5,4,programmatic,incorrect_final_answer_selection,train
3789,tier3,"Doris works at the Widget Factory in the packing department. She puts 3 widgets in each carton, which are 4 inches wide, 4 inches long, and 5 inches tall. She then packs those cartons into a shipping box before sending it to the loading bay. The shipping boxes are 20 inches wide, 20 inches long, and 20 inches high. How many widgets get shipped in each shipping box?","Each carton has an area of 4*4*5 = 80 square inches.
Each shipping box has an area of 20*20*20 = 8000 square inches
The total number of cartons that will fit into each box is 8000/80 = 100
Since there are 3 widgets in each carton, the total number of cartons in each box will be 3*100 = 300
FINAL ANSWER: 300","Each carton has an area of 4*4*5 = 80 square inches.
Each shipping box has an area of 20*20 = 400 square inches
The total number of cartons that will fit into each box is 400/80 = 5
Since there are 3 widgets in each carton, the total number of cartons in each box will be 3*5 = 15
FINAL ANSWER: 15",conceptual_error,Incomplete calculation. The term 'box_height' (value: 20) was omitted from the operation.,L2,Each shipping box has an area of 20*20 = 400 square inches,20*20=400,"{
  ""L1"": ""Each carton has an area of 4*4*5 = 80 square inches."",
  ""L2"": ""Each shipping box has an area of 20*20*20 = 8000 square inches"",
  ""L3"": ""The total number of cartons that will fit into each box is 8000/80 = 100"",
  ""L4"": ""Since there are 3 widgets in each carton, the total number of cartons in each box will be 3*100 = 300"",
  ""FA"": ""300""
}","{
  ""L1"": ""Each carton has an area of 4*4*5 = 80 square inches."",
  ""L2"": ""Each shipping box has an area of 20*20 = 400 square inches"",
  ""L3"": ""The total number of cartons that will fit into each box is 400/80 = 5"",
  ""L4"": ""Since there are 3 widgets in each carton, the total number of cartons in each box will be 3*5 = 15"",
  ""FA"": ""15""
}","{
  ""L1"": ""4*4*5=80"",
  ""L2"": ""20*20*20=8000"",
  ""L3"": ""8000/80=100"",
  ""L4"": ""3*100=300"",
  ""FA"": """"
}","{
  ""L1"": ""4*4*5=80"",
  ""L2"": ""20*20=400"",
  ""L3"": ""400/80=5"",
  ""L4"": ""3*5=15"",
  ""FA"": """"
}",5,5,programmatic,incomplete_calculation,train
1216,tier3,"The teacher brings in 14 mini-cupcakes and 12 donut holes for the class. There are 13 students in the class. If each student gets the exact same amount, how many desserts does each student get?","There are 26 total desserts because 14 plus 12 equals 26.
Each student gets 2 desserts because 26 divided by 13 equals 2.
FINAL ANSWER: 2","Each student gets 14 / 13 = 1.07 desserts.
FINAL ANSWER: 1.07",conceptual_error,misunderstanding of problem: The student only considered the mini-cupcakes (14) and did not include the donut holes (12) in the total number of desserts before dividing them among the students.,L1,Each student gets 14 / 13 = 1.07 desserts.,14/13=1.07,"{
  ""L1"": ""There are 26 total desserts because 14 plus 12 equals 26."",
  ""L2"": ""Each student gets 2 desserts because 26 divided by 13 equals 2."",
  ""FA"": ""2""
}","{
  ""L1"": ""Each student gets 14 / 13 = 1.07 desserts."",
  ""FA"": ""1.07""
}","{
  ""L1"": ""14+12=26"",
  ""L2"": ""26/13=2"",
  ""FA"": """"
}","{
  ""L1"": ""14/13=1.07"",
  ""FA"": """"
}",3,2,manual,,train
1529,tier3,5000 people live in a small town. 2000 males live in that town and the rest of the population are females. Thirty percent of the female population wears glasses. How many females wear glasses?,"There are 5000 - 2000 = 3000 females that lives in the town.
Since thirty percent of the female population wears glasses, 30/100 * 3000 = 900 females wear glasses.
FINAL ANSWER: 900","There are 5000 - 2000 = 3000 females that lives in the town.
Since thirty percent of the female population wears glasses, 30/100 * 5000 = 1500 females wear glasses.
FINAL ANSWER: 1500",conceptual_error,"Conceptual error in reference group identification - calculated 30% of the total population instead of 30% of the female population, misunderstanding which group the percentage applies to.",L2,"Since thirty percent of the female population wears glasses, 30/100 * 5000 = 1500 females wear glasses.",30/100*5000=1500,"{
  ""L1"": ""There are 5000 - 2000 = 3000 females that lives in the town."",
  ""L2"": ""Since thirty percent of the female population wears glasses, 30/100 * 3000 = 900 females wear glasses."",
  ""FA"": ""900""
}","{
  ""L1"": ""There are 5000 - 2000 = 3000 females that lives in the town."",
  ""L2"": ""Since thirty percent of the female population wears glasses, 30/100 * 5000 = 1500 females wear glasses."",
  ""FA"": ""1500""
}","{
  ""L1"": ""5000-2000=3000"",
  ""L2"": ""30/100*3000=900"",
  ""FA"": """"
}","{
  ""L1"": ""5000-2000=3000"",
  ""L2"": ""30/100*5000=1500"",
  ""FA"": """"
}",3,3,manual,,train
2666,tier3,"If Jim has 20 apples, and Jane has 60 apples, and Jerry has 40 apples, how many times can Jim's number of apples fit into the average amount of apples for a person in the group?","First, we need to find the average number of apples per person. We start by adding the three totals together, getting 20+60+40=120 apples
To finish finding the average number, we perform 120/3= 40 apples per person.
Since Jim has 20 apples, we divide the average of 40 by Jim's total to find 40/20=2 times that Jim's amount can fit into the average.
FINAL ANSWER: 2","First, we need to find the average number of apples per person. We start by adding the three totals together, getting 20+40=60 apples
To finish finding the average number, we perform 60/3= 20 apples per person.
Since Jim has 20 apples, we divide the average of 20 by Jim's total to find 20/20=1 times that Jim's amount can fit into the average.
FINAL ANSWER: 1",conceptual_error,Incomplete calculation. The term 'jane_apples' (value: 60) was omitted from the operation.,L1,"First, we need to find the average number of apples per person. We start by adding the three totals together, getting 20+40=60 apples",20+40=60,"{
  ""L1"": ""First, we need to find the average number of apples per person. We start by adding the three totals together, getting 20+60+40=120 apples"",
  ""L2"": ""To finish finding the average number, we perform 120/3= 40 apples per person."",
  ""L3"": ""Since Jim has 20 apples, we divide the average of 40 by Jim's total to find 40/20=2 times that Jim's amount can fit into the average."",
  ""FA"": ""2""
}","{
  ""L1"": ""First, we need to find the average number of apples per person. We start by adding the three totals together, getting 20+40=60 apples"",
  ""L2"": ""To finish finding the average number, we perform 60/3= 20 apples per person."",
  ""L3"": ""Since Jim has 20 apples, we divide the average of 20 by Jim's total to find 20/20=1 times that Jim's amount can fit into the average."",
  ""FA"": ""1""
}","{
  ""L1"": ""20+60+40=120"",
  ""L2"": ""120/3=40"",
  ""L3"": ""40/20=2"",
  ""FA"": """"
}","{
  ""L1"": ""20+40=60"",
  ""L2"": ""60/3=20"",
  ""L3"": ""20/20=1"",
  ""FA"": """"
}",4,4,programmatic,incomplete_calculation,train
2127,tier3,"Two stores sell the same model of smartphone, but they offer it at different prices and with different discounts. Store A lists the smartphone at a full price of $125 and offers an additional discount of 8%.  Store B lists the same smartphone for $130 and offers an additional discount of 10%.  After both stores' discounts are applied, how much cheaper is store A's smartphone than store B's smartphone?","Store A has a $125 x 8/100 = $10 discount.
So the smartphone from store A will only cost $125 - $10 = $115.
Store B has a $130 x 10/100 = $13 discount.
So the smartphone from store B will only cost $130 - $13 = $117.
Thus, store A's smartphone is $117 - $115 = $2 cheaper than that of store B.
FINAL ANSWER: 2","Store A has a $125 x 8/100 = $10 discount.
So the smartphone from store A will only cost $125 - $10 = $115.
Store B has a $130 x 10/100 = $13 discount.
FINAL ANSWER: 13",conceptual_error,Incorrect final answer. An intermediate value 'store_b_discount_amount' (value: 13) was reported instead of 'price_difference' (value: 2).,FA,FINAL ANSWER: 13,,"{
  ""L1"": ""Store A has a $125 x 8/100 = $10 discount."",
  ""L2"": ""So the smartphone from store A will only cost $125 - $10 = $115."",
  ""L3"": ""Store B has a $130 x 10/100 = $13 discount."",
  ""L4"": ""So the smartphone from store B will only cost $130 - $13 = $117."",
  ""L5"": ""Thus, store A's smartphone is $117 - $115 = $2 cheaper than that of store B."",
  ""FA"": ""2""
}","{
  ""L1"": ""Store A has a $125 x 8/100 = $10 discount."",
  ""L2"": ""So the smartphone from store A will only cost $125 - $10 = $115."",
  ""L3"": ""Store B has a $130 x 10/100 = $13 discount."",
  ""FA"": ""13""
}","{
  ""L1"": ""125*8/100=10"",
  ""L2"": ""125-10=115"",
  ""L3"": ""130*10/100=13"",
  ""L4"": ""130-13=117"",
  ""L5"": ""117-115=2"",
  ""FA"": """"
}","{
  ""L1"": ""125*8/100=10"",
  ""L2"": ""125-10=115"",
  ""L3"": ""130*10/100=13"",
  ""FA"": """"
}",6,4,programmatic,incorrect_final_answer_selection,test
1550,tier3,"Hortense loves daisies and sunflowers.  She planted 25 daisy seeds and 25 sunflower seeds in her flower bed.  If 60% of the daisy seeds germinate, and 80% of the sunflower seeds germinate, and 80% of the resulting plants produce flowers, how many plants will she grow that produce flowers?","At a germination rate of 60%, 25 seeds will yield 60/100*25=15 plants.
At a germination rate of 80%, 25 seeds will yield 80/100*25=20 plants.
In total, she will have grown 15+20=35 plants.
If 80% of the plants developed flowers, then she will have grown (80/100)*35=28 plants that produce flowers.
FINAL ANSWER: 28","At a germination rate of 60%, 25 seeds will yield 60/100*25=15 plants.
At a germination rate of 80%, 25 seeds will yield 80/100*25=20 plants.
In total, she will have grown 15+20=35 plants.
If 80% of the original seeds developed flowers, then she will have grown (80/100)*50=40 plants that produce flowers.
FINAL ANSWER: 40",conceptual_error,Conceptual error in understanding percentage reference - applied the 80% flowering rate to the original 50 seeds instead of the 35 plants that successfully germinated.,L4,"If 80% of the original seeds developed flowers, then she will have grown (80/100)*50=40 plants that produce flowers.",(80/100)*50=40,"{
  ""L1"": ""At a germination rate of 60%, 25 seeds will yield 60/100*25=15 plants."",
  ""L2"": ""At a germination rate of 80%, 25 seeds will yield 80/100*25=20 plants."",
  ""L3"": ""In total, she will have grown 15+20=35 plants."",
  ""L4"": ""If 80% of the plants developed flowers, then she will have grown (80/100)*35=28 plants that produce flowers."",
  ""FA"": ""28""
}","{
  ""L1"": ""At a germination rate of 60%, 25 seeds will yield 60/100*25=15 plants."",
  ""L2"": ""At a germination rate of 80%, 25 seeds will yield 80/100*25=20 plants."",
  ""L3"": ""In total, she will have grown 15+20=35 plants."",
  ""L4"": ""If 80% of the original seeds developed flowers, then she will have grown (80/100)*50=40 plants that produce flowers."",
  ""FA"": ""40""
}","{
  ""L1"": ""60/100*25=15"",
  ""L2"": ""80/100*25=20"",
  ""L3"": ""15+20=35"",
  ""L4"": ""(80/100)*35=28"",
  ""FA"": """"
}","{
  ""L1"": ""60/100*25=15"",
  ""L2"": ""80/100*25=20"",
  ""L3"": ""15+20=35"",
  ""L4"": ""(80/100)*50=40"",
  ""FA"": """"
}",5,5,manual,,train
13,tier3,"Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?","A pound of cream cheese cost $10 / 2 = $5.
A pack of cold cuts cost $10 x 2 = $20.
Jasper spent $10 + $5 + $20 = $35 on the ingredients.
FINAL ANSWER: 35","A pound of cream cheese cost $10 / 2 = $5.
A pack of cold cuts cost $5 x 2 = $10.
Jasper spent $10 + $5 + $10 = $25 on the ingredients.
FINAL ANSWER: 25",conceptual_error,cold cuts cost 10 x 2 = $<<10*2=20>>20 not 10.,L2,A pack of cold cuts cost $5 x 2 = $10.,5*2=10,"{
  ""L1"": ""A pound of cream cheese cost $10 / 2 = $5."",
  ""L2"": ""A pack of cold cuts cost $10 x 2 = $20."",
  ""L3"": ""Jasper spent $10 + $5 + $20 = $35 on the ingredients."",
  ""FA"": ""35""
}","{
  ""L1"": ""A pound of cream cheese cost $10 / 2 = $5."",
  ""L2"": ""A pack of cold cuts cost $5 x 2 = $10."",
  ""L3"": ""Jasper spent $10 + $5 + $10 = $25 on the ingredients."",
  ""FA"": ""25""
}","{
  ""L1"": ""10/2=5"",
  ""L2"": ""10*2=20"",
  ""L3"": ""10+5+20=35"",
  ""FA"": """"
}","{
  ""L1"": ""10/2=5"",
  ""L2"": ""5*2=10"",
  ""L3"": ""10+5+10=25"",
  ""FA"": """"
}",4,4,manual,,train
6805,tier3,"Dexter went to the mall and saw that Apple products are on sale. He wants to buy an iPhone 12 with a 15% discount and an iWatch with a 10% discount. The price tag shows that an iPhone 12 costs $800 while an iWatch costs $300. Upon check out, he will receive a further 2% cashback discount. How much would the items cost in total after the discount and cashback?","The discount for an iPhone 12 is $800 x 15/100 = $120.
So, the iPhone will now cost $800 - $120 = $680.
The discount for an iWatch is $300 x 10/100 = $30.
So, the iWatch will now cost $300 - $30 = $270.
The total cost of the iPhone and iWatch is $680 + $270 = $950.
The cashback will be $950 x 2/100 = $19.
Thus, Dexter will only pay $950 - $19 = $931.
FINAL ANSWER: 931","The discount for an iPhone 12 is $800 x 15/100 = $120.
So, the iPhone will now cost $800 - $120 = $680.
The discount for an iWatch is $300 x 10/100 = $30.
So, the iWatch will now cost $100 - $30 = $70.
The total cost of the iPhone and iWatch is $680 + $70 = $750.
The cashback will be $750 x 2/100 = $15.
Thus, Dexter will only pay $750 - $15 = $735.
FINAL ANSWER: 735",conceptual_error,Input misrepresentation. The value for 'percentage_denominator' (100) was used instead of 'iwatch_price' (300).,L4,"So, the iWatch will now cost $100 - $30 = $70.",100-30=70,"{
  ""L1"": ""The discount for an iPhone 12 is $800 x 15/100 = $120."",
  ""L2"": ""So, the iPhone will now cost $800 - $120 = $680."",
  ""L3"": ""The discount for an iWatch is $300 x 10/100 = $30."",
  ""L4"": ""So, the iWatch will now cost $300 - $30 = $270."",
  ""L5"": ""The total cost of the iPhone and iWatch is $680 + $270 = $950."",
  ""L6"": ""The cashback will be $950 x 2/100 = $19."",
  ""L7"": ""Thus, Dexter will only pay $950 - $19 = $931."",
  ""FA"": ""931""
}","{
  ""L1"": ""The discount for an iPhone 12 is $800 x 15/100 = $120."",
  ""L2"": ""So, the iPhone will now cost $800 - $120 = $680."",
  ""L3"": ""The discount for an iWatch is $300 x 10/100 = $30."",
  ""L4"": ""So, the iWatch will now cost $100 - $30 = $70."",
  ""L5"": ""The total cost of the iPhone and iWatch is $680 + $70 = $750."",
  ""L6"": ""The cashback will be $750 x 2/100 = $15."",
  ""L7"": ""Thus, Dexter will only pay $750 - $15 = $735."",
  ""FA"": ""735""
}","{
  ""L1"": ""800*15/100=120"",
  ""L2"": ""800-120=680"",
  ""L3"": ""300*10/100=30"",
  ""L4"": ""300-30=270"",
  ""L5"": ""680+270=950"",
  ""L6"": ""950*2/100=19"",
  ""L7"": ""950-19=931"",
  ""FA"": """"
}","{
  ""L1"": ""800*15/100=120"",
  ""L2"": ""800-120=680"",
  ""L3"": ""300*10/100=30"",
  ""L4"": ""100-30=70"",
  ""L5"": ""680+70=750"",
  ""L6"": ""750*2/100=15"",
  ""L7"": ""750-15=735"",
  ""FA"": """"
}",8,8,programmatic,input_misrepresentation,train
1162,tier3,"Monroe made 200 granola bars for her family. She and her husband ate 80, and the rest was divided equally among her children. If each child received 20 granola bars, how many children are in the family?","If Monroe and her husband ate 80 granola bars, then the number of granola bars the children shared is 200-80 = 120
Each child received 20 bars, and there were 120 granola bars, meaning there were 120/20 = 6 children in the family.
FINAL ANSWER: 6","There were 200 granola bars, and each child received 20 granola bars, meaning there were 200/20 = 10 children in the family.
FINAL ANSWER: 10",conceptual_error,skipped step: The step where the granola bars eaten by Monroe and her husband (80 bars) are subtracted from the total (200 - 80 = 120) is skipped. The calculation proceeds as if all 200 bars were divided among the children.,L1,"There were 200 granola bars, and each child received 20 granola bars, meaning there were 200/20 = 10 children in the family.",200/20=10,"{
  ""L1"": ""If Monroe and her husband ate 80 granola bars, then the number of granola bars the children shared is 200-80 = 120"",
  ""L2"": ""Each child received 20 bars, and there were 120 granola bars, meaning there were 120/20 = 6 children in the family."",
  ""FA"": ""6""
}","{
  ""L1"": ""There were 200 granola bars, and each child received 20 granola bars, meaning there were 200/20 = 10 children in the family."",
  ""FA"": ""10""
}","{
  ""L1"": """",
  ""L2"": ""120/20=6"",
  ""FA"": """"
}","{
  ""L1"": ""200/20=10"",
  ""FA"": """"
}",3,2,manual,,train
1485,tier3,"Adam has 50 balls. 20 balls are red, 10 are blue, and the rest are either pink or orange. If there are 3 times as many pink as orange balls, how many orange balls are there?","Adam has a total of 50 balls - 20 red - 10 blue = 20 pink and orange balls combined
If we let x be the total number of orange balls, we know that 3x is the number of pink balls
Therefore, 20 balls = x + 3x = 4x
The number of orange balls, x, is 20 balls / 4 = 5 balls
FINAL ANSWER: 5","Adam has a total of 50 balls - 20 red - 10 blue = 20 pink and orange balls combined.
If there are 3 times as many pink as orange balls, then the orange balls are 20 / 3 = 6.67 balls.
FINAL ANSWER: 6.67",conceptual_error,"incorrect application of ratio: The student incorrectly assumed that orange balls are 1/3 of the combined pink and orange balls. The correct relationship is that if there are 'x' orange balls, there are '3x' pink balls, making a total of '4x' pink and orange balls. Therefore, the number of orange balls should be 20 / 4 = 5.",L1,Adam has a total of 50 balls - 20 red - 10 blue = 20 pink and orange balls combined.,50-20-10=20,"{
  ""L1"": ""Adam has a total of 50 balls - 20 red - 10 blue = 20 pink and orange balls combined"",
  ""L2"": ""If we let x be the total number of orange balls, we know that 3x is the number of pink balls"",
  ""L3"": ""Therefore, 20 balls = x + 3x = 4x"",
  ""L4"": ""The number of orange balls, x, is 20 balls / 4 = 5 balls"",
  ""FA"": ""5""
}","{
  ""L1"": ""Adam has a total of 50 balls - 20 red - 10 blue = 20 pink and orange balls combined."",
  ""L2"": ""If there are 3 times as many pink as orange balls, then the orange balls are 20 / 3 = 6.67 balls."",
  ""FA"": ""6.67""
}","{
  ""L1"": ""50-20-10=20"",
  ""L2"": """",
  ""L3"": """",
  ""L4"": ""20/4=5"",
  ""FA"": """"
}","{
  ""L1"": ""50-20-10=20"",
  ""L2"": ""20/3=6.666666666666667"",
  ""FA"": """"
}",5,3,manual,,test
1099,tier3,"A hot dog stand sells 10 hot dogs every hour, each one selling for $2.  How many hours does the stand need to run to make $200 in sales?","First, we find out how much in sales the stand makes each hour by multiplying the number of hot dogs sold by the sales price, finding that 2*10=20 dollars in sales each hour.
Then we divide the sales goal for the day by the sales per hour, finding that the stand needs to be open for 200/20= 10 hours to hit its sales goal.
FINAL ANSWER: 10","First, we find out how much in sales the stand makes each hour by adding the number of hot dogs sold by the sales price, finding that 2+10=12 dollars in sales each hour.
Then we divide the sales goal for the day by the sales per hour, finding that the stand needs to be open for 200/12= 16.67 hours to hit its sales goal.
FINAL ANSWER: 16.67",conceptual_error,"incorrect operation: The sales per hour should be calculated by multiplying the price per hot dog by the number of hot dogs sold per hour (2 * 10 = 20), not by adding them.",L1,"First, we find out how much in sales the stand makes each hour by adding the number of hot dogs sold by the sales price, finding that 2+10=12 dollars in sales each hour.",2+10=12,"{
  ""L1"": ""First, we find out how much in sales the stand makes each hour by multiplying the number of hot dogs sold by the sales price, finding that 2*10=20 dollars in sales each hour."",
  ""L2"": ""Then we divide the sales goal for the day by the sales per hour, finding that the stand needs to be open for 200/20= 10 hours to hit its sales goal."",
  ""FA"": ""10""
}","{
  ""L1"": ""First, we find out how much in sales the stand makes each hour by adding the number of hot dogs sold by the sales price, finding that 2+10=12 dollars in sales each hour."",
  ""L2"": ""Then we divide the sales goal for the day by the sales per hour, finding that the stand needs to be open for 200/12= 16.67 hours to hit its sales goal."",
  ""FA"": ""16.67""
}","{
  ""L1"": ""2*10=20"",
  ""L2"": ""200/20=10"",
  ""FA"": """"
}","{
  ""L1"": ""2+10=12"",
  ""L2"": ""200/12=16.666666666666668"",
  ""FA"": """"
}",3,3,manual,,test
2428,tier3,"Wilson decides to go sledding on some nearby hills. On the 2 tall hills, he sleds down them 4 times each and on the 3 small hills, he sled down them half as often as he sleds down the tall hills. How many times did he sled down the hills?","On the tall hills, he sleds down 2 tall hills * 4 times per tall hill = 8 times.
He sleds down the small hills half as often so he sleds down each hill 4 times per tall hill / 2 = 2 times per small hill.
On the small hills, he sleds down 3 small hills * 2 times per small hill = 6 times.
So in total, Wilson sled down the hills 8 times on tall hills + 6 times on small hills = 14 times.
FINAL ANSWER: 14","On the tall hills, he sleds down 2 tall hills * 4 times per tall hill = 8 times.
He sleds down the small hills half as often so he sleds down each hill 4 times per tall hill * 2 = 8 times per small hill.
On the small hills, he sleds down 3 small hills * 8 times per small hill = 24 times.
So in total, Wilson sled down the hills 8 times on tall hills + 24 times on small hills = 32 times.
FINAL ANSWER: 32",conceptual_error,Incorrect operation. The calculation should use '/' but used '*' instead.,L2,He sleds down the small hills half as often so he sleds down each hill 4 times per tall hill * 2 = 8 times per small hill.,4*2=8,"{
  ""L1"": ""On the tall hills, he sleds down 2 tall hills * 4 times per tall hill = 8 times."",
  ""L2"": ""He sleds down the small hills half as often so he sleds down each hill 4 times per tall hill / 2 = 2 times per small hill."",
  ""L3"": ""On the small hills, he sleds down 3 small hills * 2 times per small hill = 6 times."",
  ""L4"": ""So in total, Wilson sled down the hills 8 times on tall hills + 6 times on small hills = 14 times."",
  ""FA"": ""14""
}","{
  ""L1"": ""On the tall hills, he sleds down 2 tall hills * 4 times per tall hill = 8 times."",
  ""L2"": ""He sleds down the small hills half as often so he sleds down each hill 4 times per tall hill * 2 = 8 times per small hill."",
  ""L3"": ""On the small hills, he sleds down 3 small hills * 8 times per small hill = 24 times."",
  ""L4"": ""So in total, Wilson sled down the hills 8 times on tall hills + 24 times on small hills = 32 times."",
  ""FA"": ""32""
}","{
  ""L1"": ""2*4=8"",
  ""L2"": ""4/2=2"",
  ""L3"": ""3*2=6"",
  ""L4"": ""8+6=14"",
  ""FA"": """"
}","{
  ""L1"": ""2*4=8"",
  ""L2"": ""4*2=8"",
  ""L3"": ""3*8=24"",
  ""L4"": ""8+24=32"",
  ""FA"": """"
}",5,5,programmatic,operator_swap,train
5717,tier3,"Abigail collected 2 boxes of cookies for the bake sale. Grayson collected 3 quarters of a box, and Olivia collected 3 boxes. Assuming that each box contains 48 cookies, how many cookies did they collect in total?","Abigail collected 2*48 = 96 cookies.
There are 48/4 = 12 cookies in a quarter of a box.
Grayson collected 12*3 = 36 cookies.
Olivia collected 48*3 = 144 cookies.
In total they collected 96+36+144 = 276 cookies.
FINAL ANSWER: 276","Abigail collected 2*48 = 96 cookies.
There are 48/4 = 12 cookies in a quarter of a box.
Grayson collected 12*3 = 36 cookies.
Olivia collected 48*3 = 144 cookies.
In total they collected 36+144 = 180 cookies.
FINAL ANSWER: 180",conceptual_error,Incomplete calculation. The term 'abigail_cookies' (value: 96) was omitted from the operation.,L5,In total they collected 36+144 = 180 cookies.,36+144=180,"{
  ""L1"": ""Abigail collected 2*48 = 96 cookies."",
  ""L2"": ""There are 48/4 = 12 cookies in a quarter of a box."",
  ""L3"": ""Grayson collected 12*3 = 36 cookies."",
  ""L4"": ""Olivia collected 48*3 = 144 cookies."",
  ""L5"": ""In total they collected 96+36+144 = 276 cookies."",
  ""FA"": ""276""
}","{
  ""L1"": ""Abigail collected 2*48 = 96 cookies."",
  ""L2"": ""There are 48/4 = 12 cookies in a quarter of a box."",
  ""L3"": ""Grayson collected 12*3 = 36 cookies."",
  ""L4"": ""Olivia collected 48*3 = 144 cookies."",
  ""L5"": ""In total they collected 36+144 = 180 cookies."",
  ""FA"": ""180""
}","{
  ""L1"": ""2*48=96"",
  ""L2"": ""48/4=12"",
  ""L3"": ""12*3=36"",
  ""L4"": ""48*3=144"",
  ""L5"": ""96+36+144=276"",
  ""FA"": """"
}","{
  ""L1"": ""2*48=96"",
  ""L2"": ""48/4=12"",
  ""L3"": ""12*3=36"",
  ""L4"": ""48*3=144"",
  ""L5"": ""36+144=180"",
  ""FA"": """"
}",6,6,programmatic,incomplete_calculation,train
1039,tier3,"In a block of flats, there are 120 apartments. 85% of them have at least 1 resident, while 60% of the apartments have at least two residents. How many apartments have only one resident?","At least one person lives in 85/100 * 120 = 102 apartments.
At least two persons live in 60/100 * 120 = 72 apartments.
So in every of the 102 - 72 = 30 apartments, only one person is living.
FINAL ANSWER: 30","At least two persons live in 60/100 * 120 = 72 apartments.
So, the number of apartments with only one resident is 120 - 72 = 48.
FINAL ANSWER: 48",conceptual_error,"misunderstanding of problem: The calculation 120 - 72 gives the number of apartments with *fewer than two* residents (i.e., zero or one resident), not just those with *only one* resident. It fails to account for the apartments that have no residents at all.",L1,At least two persons live in 60/100 * 120 = 72 apartments.,60/100*120=72,"{
  ""L1"": ""At least one person lives in 85/100 * 120 = 102 apartments."",
  ""L2"": ""At least two persons live in 60/100 * 120 = 72 apartments."",
  ""L3"": ""So in every of the 102 - 72 = 30 apartments, only one person is living."",
  ""FA"": ""30""
}","{
  ""L1"": ""At least two persons live in 60/100 * 120 = 72 apartments."",
  ""L2"": ""So, the number of apartments with only one resident is 120 - 72 = 48."",
  ""FA"": ""48""
}","{
  ""L1"": ""85/100*120=102"",
  ""L2"": ""60/100*120=72"",
  ""L3"": ""30*1=30"",
  ""FA"": """"
}","{
  ""L1"": ""60/100*120=72"",
  ""L2"": ""120-72=48"",
  ""FA"": """"
}",4,3,manual,,train
782,tier3,Melissa wants to make some dresses to sell at the upcoming festival. She has 56 square meters of fabric to make them. She knows that each dress takes 4 square meters of fabric and 3 hours to make. How many hours does she have to work?,"Each dress takes 4 square meters of fabric to make, so the number of dresses she can make will be 56/4 = 14 dresses.
Each dress takes 3 hours to make, thus she will have to work 14 dresses x 3 hours/dress = 42 hours.
FINAL ANSWER: 42","Each dress takes 4 square meters of fabric to make, so the number of dresses she can make will be 56*4 = 224 dresses.
Each dress takes 3 hours to make, thus she will have to work 224 dresses x 3 hours/dress = 672 hours.
FINAL ANSWER: 672",conceptual_error,"the number of dresses she can make will be 56/4 = 14 dresses, not 56*4 =  224 ",L1,"Each dress takes 4 square meters of fabric to make, so the number of dresses she can make will be 56*4 = 224 dresses.",56*4=224,"{
  ""L1"": ""Each dress takes 4 square meters of fabric to make, so the number of dresses she can make will be 56/4 = 14 dresses."",
  ""L2"": ""Each dress takes 3 hours to make, thus she will have to work 14 dresses x 3 hours/dress = 42 hours."",
  ""FA"": ""42""
}","{
  ""L1"": ""Each dress takes 4 square meters of fabric to make, so the number of dresses she can make will be 56*4 = 224 dresses."",
  ""L2"": ""Each dress takes 3 hours to make, thus she will have to work 224 dresses x 3 hours/dress = 672 hours."",
  ""FA"": ""672""
}","{
  ""L1"": ""56/4=14"",
  ""L2"": ""14*3=42"",
  ""FA"": """"
}","{
  ""L1"": ""56*4=224"",
  ""L2"": ""224*3=672"",
  ""FA"": """"
}",3,3,manual,,train
